S/N,REG. NO./Code,ENG 121,MTH 122,MTH 123,PHY 121,PHY 122,PHY 127,CHM 121,CHM 124,GSS 121,GSS 124,GSS 125,GSS 126,CARRY OVER COURSES,CURRENT TCL,CURRENT GP,CURRENT GPA,CURRENT SRT,PREVIOUS TCL,PREVIOUS GP,PREVIOUS GPA,CUMULATIVE TCL,CUMULATIVE GP,CUMULATIVE GPA,REMARKS
183,CME/20/111559,A,A,A,A,B,A,A,A,A,A,C,A,,23,111,4.83,P,20,86,4.3,43,197,4.58,PASS
184,CME/20/111575,C,F,D,C,E,C,E,F,B,A,E,D,,23,44,1.91,CO,20,58,2.9,43,102,2.37,"MTH122,CHM124,CHM114,GSS115,PHY112"
185,CME/20/111595,B,C,C,B,C,B,C,F,B,A,A,B,,23,79,3.43,CO,20,67,3.35,43,146,3.4,"CHM124,CHM114,GSS115"
186,CME/20/111643,E,E,B,C,C,D,E,E,C,B,A,C,,23,56,2.43,P,20,55,2.75,43,111,2.58,CHM113
187,CME/20/111665,C,A,D,A,F,B,C,F,F,D,A,B,,23,65,2.83,CO,20,75,3.75,43,140,3.26,"PHY122,CHM124,GSS121,CHM114"
188,CME/20/111729,B,E,B,B,C,D,C,B,C,D,A,B,,23,73,3.17,P,20,61,3.05,43,134,3.12,PASS
189,CME/20/111747,D,A,A,B,C,B,A,E,B,B,A,A,,23,95,4.13,P,20,72,3.6,43,167,3.88,PASS
190,CME/20/111818,C,E,E,C,F,E,D,E,B,B,D,C,,23,46,2,CO,20,36,1.8,43,82,1.91,"PHY122,GSS115,MTH112,PHY112"
205,CME/20/112014,C,RA,RA,D,C,B,D,F,C,C,RA,B,,16,43,2.69,CO,20,73,3.65,36,116,3.22,"MTH122,MTH123,CHM124,GSS125,GSS112"
206,CME/20/112029,C,B,B,C,C,B,B,A,B,B,A,C,,23,86,3.74,P,20,72,3.6,43,158,3.67,PASS
207,CME/20/112064,C,B,E,C,B,B,D,C,A,C,E,A,,23,72,3.13,P,20,71,3.55,43,143,3.33,GSS115
208,CME/20/112093,B,F,E,B,C,B,D,F,C,A,A,C,,23,57,2.48,CO,20,77,3.85,43,134,3.12,"MTH122,CHM124,CHM114"
209,CME/20/112111,B,E,C,B,C,D,B,C,B,C,A,B,,23,75,3.26,P,20,65,3.25,43,140,3.26,PASS
210,CME/20/112114,C,B,C,B,E,C,B,F,B,E,B,D,,20,60,3,CO,20,66,3.3,40,126,3.15,"CHM124,CHM114,GSS115,PHY117"
211,CME/20/112122,D,C,A,E,B,B,B,B,A,B,A,A,,23,87,3.78,P,20,94,4.7,43,181,4.21,PASS
212,CME/20/112124,B,B,C,C,D,C,C,D,D,A,A,A,,23,77,3.35,P,20,75,3.75,43,152,3.53,PASS
213,CME/20/112140,D,B,C,C,D,B,B,C,E,A,A,B,,23,74,3.22,P,20,61,3.05,43,135,3.14,"CHM114,GSS115,PHY117"
214,CME/20/112156,C,E,E,B,D,B,D,E,B,F,A,C,,23,54,2.35,CO,20,61,3.05,43,115,2.67,"GSS124,CHM114"
215,CME/20/112163,E,E,E,D,D,B,D,E,D,F,B,D,,23,39,1.7,CO,20,34,1.7,43,73,1.7,"GSS124,CHM113,CHM114,GSS115,MTH112"
216,CME/20/112170,C,C,RA,B,D,D,C,B,A,A,B,B,,20,69,3.45,P,20,61,3.05,40,130,3.25,"MTH123,CHM114,MTH112"
217,CME/20/112177,C,C,E,RA,B,B,B,C,A,A,B,B,,21,72,3.43,P,20,82,4.1,41,154,3.76,PHY121
218,CME/20/112187,B,F,C,C,E,B,D,E,A,A,B,C,,23,61,2.65,CO,20,72,3.6,43,133,3.09,MTH122
219,CME/20/112207,C,A,C,B,B,C,C,B,A,A,C,A,,23,90,3.91,P,20,76,3.8,43,166,3.86,PASS
220,CME/20/112211,B,E,D,B,C,B,B,E,A,E,A,A,,23,74,3.22,P,20,61,3.05,43,135,3.14,CHM113
221,CME/20/112213,E,A,B,D,C,B,D,D,C,C,A,B,,23,73,3.17,P,20,49,2.45,43,122,2.84,CHM114
222,CME/20/112241,D,A,C,A,C,C,C,C,A,A,B,B,,23,86,3.74,P,20,62,3.1,43,148,3.44,GSS116
223,CME/20/112258,C,A,D,A,C,B,B,A,B,F,B,C,,23,82,3.57,CO,20,70,3.5,43,152,3.53,GSS124
224,CME/20/112266,C,C,B,A,D,A,D,E,RA,E,C,C,,21,63,3,P,19,32,1.68,40,95,2.38,"GSS121,CHM114,GSS114,GSS115,MTH112,PHY117"
225,CME/20/112282,C,F,B,C,E,C,C,E,C,C,B,C,,23,58,2.52,CO,20,43,2.15,43,101,2.35,"MTH122,CHM114,GSS115,PHY117"
226,CME/20/112297,E,E,D,C,F,A,E,C,F,D,A,C,,23,41,1.78,CO,20,60,3,43,101,2.35,"PHY122,GSS121,PHY117"
227,CME/20/112309,C,F,E,C,F,A,C,F,D,F,C,C,,23,42,1.83,CO,20,42,2.1,43,84,1.95,"MTH122,PHY122,CHM124,GSS124,CHM114,GSS115,PHY117"
228,CME/20/112326,D,C,D,B,D,B,D,C,E,C,C,B,,23,60,2.61,P,20,61,3.05,43,121,2.81,GSS115
229,CME/20/112338,C,A,E,B,C,A,B,B,B,B,B,B,,23,83,3.61,P,20,85,4.25,43,168,3.91,PASS
230,CME/20/112349,C,A,B,D,E,A,B,B,F,C,B,B,,23,75,3.26,CO,20,78,3.9,43,153,3.56,GSS121
231,CME/20/112351,D,B,E,C,F,B,C,F,B,D,C,C,,23,57,2.48,CO,20,53,2.65,43,110,2.56,"PHY122,CHM124,CHM113,GSS115,PHY112"
232,CME/20/112360,C,E,C,C,D,C,E,D,B,B,C,B,,23,59,2.57,P,20,68,3.4,43,127,2.95,PASS
233,CME/20/112361,B,A,B,B,D,B,E,D,D,C,A,C,,23,74,3.22,P,19,46,2.42,42,120,2.86,"CHM114,GSS111,GSS114,PHY112"
234,CME/20/112365,C,A,C,B,E,D,D,E,D,A,A,A,,23,73,3.17,P,20,69,3.45,43,142,3.3,PASS
235,CME/20/112374,A,B,A,A,A,A,B,B,A,B,A,A,,23,107,4.65,P,20,91,4.55,43,198,4.6,PASS
236,CME/20/112410,C,D,C,C,F,C,C,E,E,A,B,B,,23,59,2.57,CO,20,63,3.15,43,122,2.84,"PHY122,CHM114"
237,CME/20/112415,B,A,RA,C,C,B,RA,F,C,C,A,B,,17,61,3.59,CO,20,67,3.35,37,128,3.46,"MTH123,CHM121,CHM124,CHM114"
238,CME/20/112467,B,B,B,C,C,B,C,E,A,A,C,C,,23,82,3.57,P,20,68,3.4,43,150,3.49,PHY112
239,CME/20/112468,B,C,E,B,D,B,B,C,A,C,B,A,,23,78,3.39,P,20,63,3.15,43,141,3.28,MTH112
240,CME/20/112497,B,F,E,C,D,A,E,D,B,C,C,C,,23,51,2.22,CO,20,60,3,43,111,2.58,"MTH122,CHM114"
241,CME/20/112500,B,A,B,C,E,B,C,E,A,B,A,C,,23,82,3.57,P,20,48,2.4,43,130,3.02,"CHM113,GSS115"
242,CME/20/112514,C,B,C,D,D,C,B,E,A,A,B,B,,23,78,3.39,P,20,79,3.95,43,157,3.65,GSS115
243,CME/20/112528,A,C,D,C,E,B,B,B,B,C,C,B,,23,75,3.26,P,20,63,3.15,43,138,3.21,PASS
244,CME/20/112529,B,A,B,C,B,B,D,E,B,B,A,C,,23,83,3.61,P,20,59,2.95,43,142,3.3,PHY117
245,CME/20/112531,B,C,B,B,B,B,C,F,D,A,A,A,,23,82,3.57,CO,20,83,4.15,43,165,3.84,CHM124
246,CME/20/112544,B,E,E,B,B,A,C,A,A,A,C,B,,23,75,3.26,P,20,87,4.35,43,162,3.77,PASS
247,CME/20/112562,A,A,B,A,C,A,A,E,B,A,B,C,,23,97,4.22,P,20,82,4.1,43,179,4.16,GSS115
248,CME/20/112575,C,A,C,B,B,A,A,C,C,A,B,A,,23,94,4.09,P,20,93,4.65,43,187,4.35,PASS
249,CME/20/112613,D,F,D,C,E,B,E,D,B,E,B,C,,23,46,2,CO,20,54,2.7,43,100,2.33,"MTH122,MTH112"
250,CME/20/112664,D,C,E,C,E,B,D,B,C,D,A,B,,23,59,2.57,P,20,69,3.45,43,128,2.98,PASS
251,CME/20/112677,B,C,E,B,F,B,C,E,B,C,D,B,,23,63,2.74,CO,20,68,3.4,43,131,3.05,PHY122
252,CME/20/112699,C,E,C,C,E,B,C,F,C,E,A,D,,23,55,2.39,CO,20,41,2.05,43,96,2.23,"CHM124,CHM114,GSS111,GSS115"
253,CME/20/112753,D,A,A,A,E,B,E,E,A,A,B,B,,21,73,3.48,P,20,50,2.5,41,123,3,"CHM114,GSS115"
254,CME/20/112771,B,A,D,C,B,A,A,F,A,A,B,B,,23,90,3.91,CO,20,77,3.85,43,167,3.88,CHM124
255,CME/20/112795,B,A,C,A,C,A,B,F,B,B,B,A,,23,91,3.96,CO,20,66,3.3,43,157,3.65,"CHM124,CHM114,PHY117"
256,CME/20/112855,C,A,C,A,B,A,B,A,A,D,A,A,,23,97,4.22,P,20,88,4.4,43,185,4.3,PASS
257,CME/20/112860,B,B,D,B,C,A,D,E,E,E,B,D,,23,63,2.74,P,20,61,3.05,43,124,2.88,"CHM114,GSS111,GSS114,GSS115"
258,CME/20/112861,C,B,B,D,D,A,C,E,D,A,A,B,,23,75,3.26,P,20,56,2.8,43,131,3.05,"CHM114,GSS112,PHY117"
259,CME/20/112875,D,A,C,C,F,B,C,F,C,A,B,A,,23,72,3.13,CO,20,79,3.95,43,151,3.51,"PHY122,CHM124,ENG111"
260,CME/20/112913,C,B,C,C,B,C,B,E,D,B,B,C,,23,75,3.26,P,20,60,3,43,135,3.14,PHY117
261,CME/20/112964,C,C,C,E,F,C,C,F,B,B,C,C,,23,59,2.57,CO,20,51,2.55,43,110,2.56,"PHY122,CHM124,ENG111"
262,CME/20/113017,C,A,A,C,D,B,B,E,B,C,B,B,,23,86,3.74,P,11,42,3.82,34,128,3.76,"CHM113,CHM114,GSS114,PHY111,PHY112,PHY117"
263,CME/20/113018,C,E,C,E,C,B,C,F,F,D,B,C,,23,51,2.22,CO,9,21,2.33,32,72,2.25,"CHM124,GSS121,CHM113,CHM114,GSS112,GSS114,PHY111,PHY112,PHY117"
264,CME/20/113170,B,E,C,C,C,B,E,E,A,A,C,B,,23,66,2.87,P,0,0,0,23,66,2.87,PASS
